Name,Company,Company Website,LinkedIn
Vishal Mehta,Lok Capital,https://www.lokcapital.com/,https://www.linkedin.com/in/vishalmehta3
Venky Natarajan,Lok Capital,https://www.lokcapital.com/,https://www.linkedin.com/in/venky-natarajan-7805
Kunal Khattar,AdvantEdge Founders,https://advantedgefounders.com,https://linkedin.com/in/kkhattar
Sandiip Bhammer,Green Frontier Capital,https://www.greenfrontiercapital.com/,https://www.linkedin.com/in/sandiip-bhammer-94953614
Iain Shovlin,Guild Capital,https://guild.capital/,https://www.linkedin.com/in/iain-shovlin-b3923
Gautam Patel,Z3Partners,https://z3partners.com/,https://linkedin.com/in/gautam-patel-288b3a8
Rishi Maheshwari,Z3Partners,https://z3partners.com/,https://www.linkedin.com/in/rishi-maheshwari-3166b116
Abhishek Agarwal,Appreciate Capital,https://appreciatecapital.vc/,https://linkedin.com/in/aggyabhishek
Sujit Kunte,Spiral Ventures Pte. Ltd.,https://spiral.vc,https://www.linkedin.com/in/sujit-kunte
Anisha Ramakrishnan,Wami Capital - Single Family Office,https://wamicapital.com/,https://ae.linkedin.com/in/anisha-ramakrishnan-1a61785b
Akshat Chaudhary,3 Peaks Ventures,https://3peaksventures.com/,https://linkedin.com/in/akshat-chaudhary-a1388189
Shilpin Tater,Superb Capital,https://superbcapital.vc,https://www.linkedin.com/in/shilpin-tater-baa25013
Dhianu Das,Agility Ventures,https://agilityventures.vc,https://www.linkedin.com/in/dhianu
Dhruv Dhanraj Bahl,Eternal Capital (India),https://eternalcapital.in/,https://linkedin.com/in/dhruv-dhanraj-bahl-3857a033
Rohit Bafna,888vc,,https://www.linkedin.com/in/iamrohitbafna
Satya Bansal,Blue Ashva Capital,https://blueashva.com,https://www.linkedin.com/in/satyabansal
Richard Avery-Wright,1818 Venture Capital,https://1818vc.com,https://www.linkedin.com/in/richard-avery-wright
Virginia Tan,Teja Ventures,https://www.tejaventures.com/,https://www.linkedin.com/in/virginia-tan-a58b6b14
Jonathan Sun,UpsideDown VC,https://upsidedownvc.com,https://linkedin.com/in/jonathan-sun-652541131
Peter Livingston,Unpopular Ventures,https://unpopularventures.com/,https://www.linkedin.com/in/pliv
Aditya Kathpalia,Orbit Startups,https://orbitstartups.com/,https://www.linkedin.com/in/akathpalia/
Abhijit Ray,Unitus Capital,https://unituscapital.com/,https://linkedin.com/in/abhijit-ray-0697b47
Kylie Charlton,Unitus Capital,https://unituscapital.com/,https://www.linkedin.com/in/kyliecharlton
Mukesh Sharma,Menterra Ventures,https://www.menterra.com/,https://www.linkedin.com/in/mukesh-sharma-ca-cfa-9b09475
Paul Basil,Menterra Ventures,https://www.menterra.com/,https://www.linkedin.com/in/paul-basil-73736a12
Gopal Jain,Gaja Capital,https://gajacapital.com/,https://www.linkedin.com/in/gopal-jain-432269
Manish Kejriwal,Kedaara Capital,https://kedaaracapital.com,https://www.linkedin.com/in/manish-kejriwal-1a7336
Sunish Sharma,Kedaara Capital,https://kedaaracapital.com,https://www.linkedin.com/in/sunishsharma
Abhishek Agarwal,OperatorVC,https://operatorvc.com/OperatorVC-8a33376dede541f08d7d4bfc1a963d68,https://linkedin.com/in/aggyabhishek
Sameer Guglani,Supermorpheus,https://supermorpheus.com/,https://linkedin.com/in/sameerguglani
Arunav Gupta,Wavelaunch VC,https://wavelaunchvc.com,https://linkedin.com/in/arunavv
Pankaj Makkar,Bertelsmann India Investments,https://bertelsmann-india.com,https://in.linkedin.com/in/pankajmakkar
Raja Kumar,Ascent Capital,https://ascentcapital.in/,https://linkedin.com/in/raja-kumar-455b7245
Darshan Engineer,Narotam Sekhsaria Family Office,https://nsfoundation.in,https://linkedin.com/in/darshan-engineer-0b5258375
Sumeet Narang,Samara Capital,https://samaracapital.in/,https://in.linkedin.com/in/sumeet-narang111
Nirali Solani,Chona Family Office,https://chonafamily.com,https://linkedin.com/in/nirali-solani-83105a4b
Gautam Ashra,MGA Ventures,https://mgaventures.com/,https://www.linkedin.com/in/gautam-ashra-32b04483
Jay Desai,MGA Ventures,https://mgaventures.com/,https://linkedin.com/in/jaydesai91
Surya Chadha,Madison India Capital,https://madisonindia.com,https://www.linkedin.com/in/suryachadha
Ankur Pahwa,PeerCapital,https://peercapital.vc,https://www.linkedin.com/in/ankur-pahwa-201b5083
Karthik Prabhakar,PeerCapital,https://peercapital.vc,https://www.linkedin.com/in/karthikprabhakar
Nishtha Sethi,The Venture Folks,https://theventurefolks.com,https://in.linkedin.com/in/nishtha-sethi
Abhishek Goenka,RPSG Capital Ventures,https://rpsgcapital.com/,https://www.linkedin.com/in/abhishekgoenka
